kind,address,name,confidence,evidence,notes
global,0x800FE278,gGs_apCoordWalkStack,high,"GsGetLwUnit/GsGetLsUnit/GsGetLwsUnit store each visited coordinate at [depth] on the way up to the root and read [depth - 1] back while multiplying down (the code addresses the read side as 0x800FE274 + depth * 4).","Coordinate hierarchy walk stack."
global,0x80099E48,gGs_pScanNextBlock,high,"GsScanUnit (0x80089F80) loads it from word 0 of the primitive block on the priming call and follows it when the per-block count runs out; 0xFFFFFFFF ends the scan.","GsScanUnit state: next primitive block."
global,0x80099E4C,gGs_pScanCursor,high,"GsScanUnit sets it past the three-word block header, reports *cursor as the type word, and advances it by one word plus the low half of word 1.","GsScanUnit state: current type word."
global,0x80099E50,gGs_pScanPrimHeader,high,"GsScanUnit loads it from word 1 of each block and copies its section pointers into the scratch area; GsGetHeadpUnit (0x8008A138) returns it and GsMapCoordUnit takes the coordinate section from its last entry.","GsScanUnit state: primitive header (section table) of the current block."
global,0x80099E54,gGs_wScanTypesLeft,high,"GsScanUnit loads it from the low half of word 2 of each block, decrements it per call and moves to the next block when it goes negative.","GsScanUnit state: type words left in the block."
function,0x80089910,lDivideFT4_EmitPacket,high,"Called four times by RCpolyFT4A (0x80089488) at the last division level with the corner pointers in t0-t3: writes a POLY_FT4 (colour word from DIVPOLYGON4+0x10, the four sxy and uv words, clut and tpage from +0xC/+0xE into the first two uv words), links it at the head of the ordering-table entry at +0x14 with length 9, and advances the packet pointer by 0x28. The native port built from this reading draws the card viewer's card correctly.","Leaf emitter of the FT4 subdivision; register-argument internal routine, not a C-callable function."
function,0x80041F90,DisplayObject_ProjectFacing,high,"Sets the geometry offset and screen, builds the object's Z-Y-X rotation from field_20..22 (RotMatrixZYX_gte), scales by field_44/46 unless GsROTOFF, and takes the NCLIP sign of a unit triangle (RotAverageNclip3_nom, gte_stopz). When field_10 is a callback it is called with that sign, and for a back-facing object the matrix's x and z columns are negated and the test repeated. With the callback never run (pointer-sign test on a host) the card viewer kept the front texture while showing the back; with it run, the back texture appears for the first half of the turn.","Chooses the visible face of a rotating display object. DisplayObject.field_10 is a face-change callback (CardPreview_UpdateVariant, DisplayObject_SetResourceVariantFromSign) or a small number; retail tells them apart by the sign of the word."
global,0x80099638,gPsyq_awArcTangentTable,high,"ratan2 (0x800899A0) divides the smaller of |x| and |y| by the larger scaled to 0..1024 and reads a halfword here; for |y| >= |x| it uses 0x400 minus the entry, then mirrors by the signs (0x800 - a for negative x, negation for negative y).","atan(n / 1024) for n = 0..1024 in 4096ths of a turn."
global,0x800FE268,gGs_dwScanAnimTypesLeft,high,"GsScanAnim (0x80089D30) loads it from the first word of the type table with the top bit cleared on the priming call, returns 0 when it reaches zero and decrements it per reported type.","GsScanAnim state."
global,0x800FE26C,gGs_pScanAnimTypeTable,high,"GsScanAnim's priming call stores the pointer found at word 2 of the block whose address sits two words before its argument.","GsScanAnim state: interpolation-driver type table."
global,0x800FE270,gGs_pScanAnimCursor,high,"GsScanAnim reports *cursor and its address through the GsTYPEUNIT argument and advances it one word per call.","GsScanAnim state."
function,0x800612C0,ModelDriver_FlatTri,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCS; emits POLY_FT3, 5-word records.",HMD primitive driver for type 0x00200009; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x8006151C,ModelDriver_GouraudTri,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCT; emits POLY_GT3, 6-word records.",HMD primitive driver for type 0x0020000D; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x800617E0,ModelDriver_FlatQuad,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCS; emits POLY_FT4, 6-word records.",HMD primitive driver for type 0x00200011; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80061A84,ModelDriver_GouraudQuad,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records.",HMD primitive driver for type 0x00200015; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80061DDC,ModelDriver_FlatTriTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCS; emits POLY_FT3, 5-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00200209; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80062058,ModelDriver_GouraudTriTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCT; emits POLY_GT3, 6-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x0020020D; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x8006233C,ModelDriver_FlatQuadTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCS; emits POLY_FT4, 6-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00200211; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80062600,ModelDriver_GouraudQuadTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00200215; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80062978,ModelDriver_FlatTriBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCS; emits POLY_FT3, 5-word records.",HMD primitive driver for type 0x00300009; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80062BC0,ModelDriver_GouraudTriBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCT; emits POLY_GT3, 6-word records.",HMD primitive driver for type 0x0030000D; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80062E70,ModelDriver_FlatQuadBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCS; emits POLY_FT4, 6-word records.",HMD primitive driver for type 0x00300011; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80063100,ModelDriver_GouraudQuadBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records.",HMD primitive driver for type 0x00300015; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80063444,ModelDriver_FlatTriTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCS; emits POLY_FT3, 5-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00300209; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x800636AC,ModelDriver_GouraudTriTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCT; emits POLY_GT3, 6-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x0030020D; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x8006397C,ModelDriver_FlatQuadTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCS; emits POLY_FT4, 6-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00300211; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80063C2C,ModelDriver_GouraudQuadTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records, each polygon preceded by its own texture-window word and followed by a reset.",HMD primitive driver for type 0x00300215; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80063F90,ModelDriver_FlatTriSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCS; emits POLY_FT3, 5-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80064248,ModelDriver_GouraudTriSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCT; emits POLY_GT3, 6-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80064568,ModelDriver_FlatQuadSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCS; emits POLY_FT4, 6-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80064868,ModelDriver_GouraudQuadSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80064C1C,ModelDriver_FlatTriTiledSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCS; emits POLY_FT3, 5-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80064EF4,ModelDriver_GouraudTriTiledSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, NCLIP back-face test, AVSZ3, NCCT; emits POLY_GT3, 6-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80065234,ModelDriver_FlatQuadTiledSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCS; emits POLY_FT4, 6-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80065554,ModelDriver_GouraudQuadTiledSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, NCLIP back-face test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80065928,ModelDriver_FlatTriBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCS; emits POLY_FT3, 5-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80065BCC,ModelDriver_GouraudTriBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCT; emits POLY_GT3, 6-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80065ED8,ModelDriver_FlatQuadBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCS; emits POLY_FT4, 6-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x800661C4,ModelDriver_GouraudQuadBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80066564,ModelDriver_FlatTriTiledBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCS; emits POLY_FT3, 5-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80066828,ModelDriver_GouraudTriTiledBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT, no NCLIP test, AVSZ3, NCCT; emits POLY_GT3, 6-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80066B54,ModelDriver_FlatQuadTiledBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCS; emits POLY_FT4, 6-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80066E60,ModelDriver_GouraudQuadTiledBothSidedSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine: RTPT + RTPS, no NCLIP test, AVSZ4, NCCT + NCCS; emits POLY_GT4, 7-word records, each polygon preceded by its own texture-window word and followed by a reset; forces the translucent bit and picks the blend mode from D_8009AFE5 and the first polygon's tpage.",HMD primitive driver; Model_GetPrimitiveHandler / func_8005FE44 select it.
function,0x80067354,ModelDriver_SharedGouraudTri,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ3, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x0120000D; consumes ModelDriver_SharedPreCalc's output.
function,0x8006759C,ModelDriver_SharedGouraudQuad,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ4, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x01200015; consumes ModelDriver_SharedPreCalc's output.
function,0x80067858,ModelDriver_SharedGouraudTriTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ3, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x0120020D; consumes ModelDriver_SharedPreCalc's output.
function,0x80067ABC,ModelDriver_SharedGouraudQuadTiled,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ4, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x01200215; consumes ModelDriver_SharedPreCalc's output.
function,0x80067D94,ModelDriver_SharedGouraudTriBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, AVSZ3, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x0130000D; consumes ModelDriver_SharedPreCalc's output.
function,0x80067FD0,ModelDriver_SharedGouraudQuadBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, AVSZ4, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x01300015; consumes ModelDriver_SharedPreCalc's output.
function,0x8006825C,ModelDriver_SharedGouraudTriTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, AVSZ3, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x0130020D; consumes ModelDriver_SharedPreCalc's output.
function,0x800684B4,ModelDriver_SharedGouraudQuadTiledBothSided,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, AVSZ4, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver for type 0x01300215; consumes ModelDriver_SharedPreCalc's output.
function,0x8006875C,ModelDriver_SharedGouraudTriSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ3, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver; consumes ModelDriver_SharedPreCalc's output.
function,0x80068A00,ModelDriver_SharedGouraudQuadSemiTrans,high,"Hand-written GTE assembly read in full for the four shapes and by diff for the variants (notes/pc-build.md); the native port in src/pc/overrides/model_polygon_drivers.c is that reading and draws the Library's Ryu-Kishin model. This routine issues no RTPS/RTPT: it reads screen xy and SZ from the eight-byte results at scratch+0x1C, drops a polygon with a -1 result, NCLIP on the stored points (a quad is kept if either triangle faces the viewer), AVSZ4, and takes colours from the slots at scratch+0x24 (+4 when D_8009AFE0 is set); draws nothing when D_8009AFE4 is 1.",Shared-vertex HMD polygon driver; consumes ModelDriver_SharedPreCalc's output.
